,Name,Image Path,Mask Path
189,image_2017_05_19_09_10_00_cam_117L.pkl,dataset/images/image_2017_05_19_09_10_00_cam_117L.pkl,dataset/masks/image_2017_05_19_09_10_00_cam_117L.pkl
19,image_2017_04_10_08_20_00_cam_110bL.pkl,dataset/images/image_2017_04_10_08_20_00_cam_110bL.pkl,dataset/masks/image_2017_04_10_08_20_00_cam_110bL.pkl
168,image_2017_05_19_08_30_00_cam_109bL.pkl,dataset/images/image_2017_05_19_08_30_00_cam_109bL.pkl,dataset/masks/image_2017_05_19_08_30_00_cam_109bL.pkl
55,image_2017_04_22_11_01_00_cam_110bL.pkl,dataset/images/image_2017_04_22_11_01_00_cam_110bL.pkl,dataset/masks/image_2017_04_22_11_01_00_cam_110bL.pkl
166,image_2017_05_19_08_20_00_cam_118bL.pkl,dataset/images/image_2017_05_19_08_20_00_cam_118bL.pkl,dataset/masks/image_2017_05_19_08_20_00_cam_118bL.pkl
272,image_2017_05_19_12_00_00_cam_109bL.pkl,dataset/images/image_2017_05_19_12_00_00_cam_109bL.pkl,dataset/masks/image_2017_05_19_12_00_00_cam_109bL.pkl
135,image_2017_05_19_07_20_00_cam_120L.pkl,dataset/images/image_2017_05_19_07_20_00_cam_120L.pkl,dataset/masks/image_2017_05_19_07_20_00_cam_120L.pkl
123,image_2017_05_19_07_10_00_cam_112bL.pkl,dataset/images/image_2017_05_19_07_10_00_cam_112bL.pkl,dataset/masks/image_2017_05_19_07_10_00_cam_112bL.pkl
82,image_2017_05_19_06_00_00_cam_111cL.pkl,dataset/images/image_2017_05_19_06_00_00_cam_111cL.pkl,dataset/masks/image_2017_05_19_06_00_00_cam_111cL.pkl
104,image_2017_05_19_06_40_00_cam_109bL.pkl,dataset/images/image_2017_05_19_06_40_00_cam_109bL.pkl,dataset/masks/image_2017_05_19_06_40_00_cam_109bL.pkl
